commodity_type,commodity,date,value,variable
expellers,canola_expellers,2023-04-01,40.0,production
expellers,canola_expellers,2023-05-01,40.0,production
expellers,canola_expellers,2023-06-01,5.0,production
grains,soybean,2024-01-01,2122727.0,crush
grains,sunflower,2024-01-01,217943.0,crush
grains,peanut,2024-01-01,10303.0,crush
grains,cotton,2024-01-01,530.0,crush
grains,canola,2024-01-01,483.0,crush
oil,soybean_oil,2024-01-01,417842.0,production
oil,sunflower_oil,2024-01-01,93978.0,production
oil,peanut_oil,2024-01-01,3956.0,production
oil,cotton_oil,2024-01-01,74.0,production
oil,canola_oil,2024-01-01,184.0,production
pellets,soybean_pellets,2024-01-01,1555180.0,production
pellets,sunflower_pellets,2024-01-01,95006.0,production
pellets,peanut_pellets,2024-01-01,5789.0,production
pellets,cotton_pellets,2024-01-01,440.0,production
pellets,canola_pellets,2024-01-01,275.0,production
expellers,soybean_expellers,2024-01-01,84379.0,production
expellers,sunflower_expellers,2024-01-01,3258.0,production
grains,soybean,2023-01-01,1885017.0,crush
grains,sunflower,2023-01-01,204410.0,crush
grains,linen,2023-01-01,50.0,crush
grains,peanut,2023-01-01,15383.0,crush
grains,cotton,2023-01-01,474.0,crush
oil,soybean_oil,2023-01-01,367518.0,production
oil,sunflower_oil,2023-01-01,83686.0,production
oil,linen_oil,2023-01-01,19.0,production
oil,peanut_oil,2023-01-01,5386.0,production
oil,cotton_oil,2023-01-01,62.0,production
pellets,soybean_pellets,2023-01-01,1362759.0,production
pellets,sunflower_pellets,2023-01-01,87413.0,production
pellets,peanut_pellets,2023-01-01,8897.0,production
pellets,cotton_pellets,2023-01-01,394.0,production
expellers,soybean_expellers,2023-01-01,73082.0,production
expellers,sunflower_expellers,2023-01-01,2437.0,production
expellers,linen_expellers,2023-01-01,31.0,production
grains,soybean,2023-02-01,1554451.0,crush
grains,sunflower,2023-02-01,224359.0,crush
grains,linen,2023-02-01,275.0,crush
grains,peanut,2023-02-01,15323.0,crush
grains,cotton,2023-02-01,270.0,crush
oil,soybean_oil,2023-02-01,301861.0,production
oil,sunflower_oil,2023-02-01,95217.0,production
oil,linen_oil,2023-02-01,105.0,production
oil,peanut_oil,2023-02-01,5672.0,production
oil,cotton_oil,2023-02-01,35.0,production
pellets,soybean_pellets,2023-02-01,1106890.0,production
pellets,sunflower_pellets,2023-02-01,98757.0,production
pellets,peanut_pellets,2023-02-01,8537.0,production
pellets,cotton_pellets,2023-02-01,224.0,production
expellers,soybean_expellers,2023-02-01,68183.0,production
expellers,sunflower_expellers,2023-02-01,2508.0,production
expellers,linen_expellers,2023-02-01,171.0,production
grains,soybean,2023-03-01,2111736.0,crush
grains,sunflower,2023-03-01,443656.0,crush
grains,peanut,2023-03-01,7535.0,crush
grains,cotton,2023-03-01,412.0,crush
oil,soybean_oil,2023-03-01,414086.0,production
oil,sunflower_oil,2023-03-01,190543.0,production
oil,peanut_oil,2023-03-01,2238.0,production
oil,cotton_oil,2023-03-01,54.0,production
pellets,soybean_pellets,2023-03-01,1541438.0,production
pellets,sunflower_pellets,2023-03-01,193559.0,production
pellets,peanut_pellets,2023-03-01,5241.0,production
pellets,cotton_pellets,2023-03-01,342.0,production
expellers,soybean_expellers,2023-03-01,85036.0,production
expellers,sunflower_expellers,2023-03-01,4655.0,production
grains,soybean,2023-04-01,2878991.0,crush
grains,sunflower,2023-04-01,419324.0,crush
grains,linen,2023-04-01,250.0,crush
grains,peanut,2023-04-01,15099.0,crush
grains,cotton,2023-04-01,6339.0,crush
grains,canola,2023-04-01,58.0,crush
oil,soybean_oil,2023-04-01,549342.0,production
oil,sunflower_oil,2023-04-01,180698.0,production
oil,linen_oil,2023-04-01,95.0,production
oil,peanut_oil,2023-04-01,5536.0,production
oil,cotton_oil,2023-04-01,1062.0,production
oil,canola_oil,2023-04-01,17.0,production
pellets,soybean_pellets,2023-04-01,2127724.0,production
pellets,sunflower_pellets,2023-04-01,183717.0,production
pellets,peanut_pellets,2023-04-01,8637.0,production
pellets,cotton_pellets,2023-04-01,4375.0,production
expellers,soybean_expellers,2023-04-01,81340.0,production
expellers,sunflower_expellers,2023-04-01,3359.0,production
expellers,linen_expellers,2023-04-01,155.0,production
grains,soybean,2023-05-01,3493949.0,crush
grains,sunflower,2023-05-01,419980.0,crush
grains,peanut,2023-05-01,3683.0,crush
grains,cotton,2023-05-01,9978.0,crush
grains,canola,2023-05-01,58.0,crush
oil,soybean_oil,2023-05-01,684859.0,production
oil,sunflower_oil,2023-05-01,180335.0,production
oil,peanut_oil,2023-05-01,1185.0,production
oil,cotton_oil,2023-05-01,1682.0,production
oil,canola_oil,2023-05-01,16.0,production
pellets,soybean_pellets,2023-05-01,2604952.0,production
pellets,sunflower_pellets,2023-05-01,180595.0,production
pellets,peanut_pellets,2023-05-01,2445.0,production
pellets,cotton_pellets,2023-05-01,7311.0,production
expellers,soybean_expellers,2023-05-01,88159.0,production
expellers,sunflower_expellers,2023-05-01,3638.0,production
grains,soybean,2023-06-01,3017678.0,crush
grains,sunflower,2023-06-01,348134.0,crush
grains,peanut,2023-06-01,15437.0,crush
grains,cotton,2023-06-01,23603.0,crush
grains,canola,2023-06-01,7.0,crush
oil,soybean_oil,2023-06-01,578535.0,production
oil,sunflower_oil,2023-06-01,151271.0,production
oil,peanut_oil,2023-06-01,5388.0,production
oil,cotton_oil,2023-06-01,3999.0,production
oil,canola_oil,2023-06-01,2.0,production
pellets,soybean_pellets,2023-06-01,2164635.0,production
pellets,sunflower_pellets,2023-06-01,157761.0,production
pellets,peanut_pellets,2023-06-01,8773.0,production
pellets,cotton_pellets,2023-06-01,16238.0,production
expellers,soybean_expellers,2023-06-01,150324.0,production
expellers,sunflower_expellers,2023-06-01,2989.0,production
expellers,peanut_expellers,2023-06-01,2.0,production
grains,soybean,2023-07-01,2551641.0,crush
grains,sunflower,2023-07-01,402141.0,crush
grains,peanut,2023-07-01,3560.0,crush
grains,cotton,2023-07-01,25995.0,crush
oil,soybean_oil,2023-07-01,493042.0,production
oil,sunflower_oil,2023-07-01,177881.0,production
oil,peanut_oil,2023-07-01,934.0,production
oil,cotton_oil,2023-07-01,4285.0,production
pellets,soybean_pellets,2023-07-01,1831723.0,production
pellets,sunflower_pellets,2023-07-01,183704.0,production
pellets,peanut_pellets,2023-07-01,2415.0,production
pellets,cotton_pellets,2023-07-01,18387.0,production
expellers,soybean_expellers,2023-07-01,124997.0,production
expellers,sunflower_expellers,2023-07-01,3753.0,production
grains,soybean,2023-08-01,2078639.0,crush
grains,sunflower,2023-08-01,405950.0,crush
grains,linen,2023-08-01,100.0,crush
grains,peanut,2023-08-01,16715.0,crush
grains,cotton,2023-08-01,16894.0,crush
oil,soybean_oil,2023-08-01,405589.0,production
oil,sunflower_oil,2023-08-01,174631.0,production
oil,linen_oil,2023-08-01,38.0,production
oil,peanut_oil,2023-08-01,5948.0,production
oil,cotton_oil,2023-08-01,2700.0,production
pellets,soybean_pellets,2023-08-01,1501151.0,production
pellets,sunflower_pellets,2023-08-01,185358.0,production
pellets,peanut_pellets,2023-08-01,8303.0,production
pellets,cotton_pellets,2023-08-01,12376.0,production
expellers,soybean_expellers,2023-08-01,107280.0,production
expellers,sunflower_expellers,2023-08-01,4907.0,production
expellers,linen_expellers,2023-08-01,62.0,production
expellers,peanut_expellers,2023-08-01,1207.0,production
expellers,cotton_expellers,2023-08-01,156.0,production
grains,soybean,2023-09-01,1907363.0,crush
grains,sunflower,2023-09-01,353168.0,crush
grains,peanut,2023-09-01,3883.0,crush
grains,cotton,2023-09-01,20149.0,crush
grains,canola,2023-09-01,48.0,crush
oil,soybean_oil,2023-09-01,370562.0,production
oil,sunflower_oil,2023-09-01,154790.0,production
oil,peanut_oil,2023-09-01,970.0,production
oil,cotton_oil,2023-09-01,3208.0,production
oil,canola_oil,2023-09-01,21.0,production
pellets,soybean_pellets,2023-09-01,1370616.0,production
pellets,sunflower_pellets,2023-09-01,147237.0,production
pellets,peanut_pellets,2023-09-01,942.0,production
pellets,cotton_pellets,2023-09-01,14312.0,production
expellers,soybean_expellers,2023-09-01,100011.0,production
expellers,sunflower_expellers,2023-09-01,3891.0,production
expellers,peanut_expellers,2023-09-01,1449.0,production
expellers,cotton_expellers,2023-09-01,237.0,production
grains,soybean,2023-10-01,1860826.0,crush
grains,sunflower,2023-10-01,256492.0,crush
grains,linen,2023-10-01,150.0,crush
grains,peanut,2023-10-01,19436.0,crush
grains,cotton,2023-10-01,27285.0,crush
grains,canola,2023-10-01,20.0,crush
oil,soybean_oil,2023-10-01,361359.0,production
oil,sunflower_oil,2023-10-01,115691.0,production
oil,linen_oil,2023-10-01,45.0,production
oil,peanut_oil,2023-10-01,6866.0,production
oil,cotton_oil,2023-10-01,4380.0,production
oil,canola_oil,2023-10-01,9.0,production
pellets,soybean_pellets,2023-10-01,1331317.0,production
pellets,sunflower_pellets,2023-10-01,107569.0,production
pellets,peanut_pellets,2023-10-01,9248.0,production
pellets,cotton_pellets,2023-10-01,19065.0,production
expellers,soybean_expellers,2023-10-01,95842.0,production
expellers,sunflower_expellers,2023-10-01,3891.0,production
expellers,linen_expellers,2023-10-01,105.0,production
expellers,peanut_expellers,2023-10-01,768.0,production
expellers,cotton_expellers,2023-10-01,110.0,production
grains,soybean,2023-11-01,1898983.0,crush
grains,sunflower,2023-11-01,231580.0,crush
grains,peanut,2023-11-01,5115.0,crush
grains,cotton,2023-11-01,7531.0,crush
grains,canola,2023-11-01,10.0,crush
oil,soybean_oil,2023-11-01,369693.0,production
oil,sunflower_oil,2023-11-01,105394.0,production
oil,peanut_oil,2023-11-01,1472.0,production
oil,cotton_oil,2023-11-01,1465.0,production
oil,canola_oil,2023-11-01,5.0,production
pellets,soybean_pellets,2023-11-01,1362400.0,production
pellets,sunflower_pellets,2023-11-01,94862.0,production
pellets,peanut_pellets,2023-11-01,1357.0,production
pellets,cotton_pellets,2023-11-01,6871.0,production
expellers,soybean_expellers,2023-11-01,92736.0,production
expellers,sunflower_expellers,2023-11-01,3863.0,production
expellers,peanut_expellers,2023-11-01,1384.0,production
grains,soybean,2023-12-01,1901089.0,crush
grains,sunflower,2023-12-01,217242.0,crush
grains,linen,2023-12-01,300.0,crush
grains,peanut,2023-12-01,12554.0,crush
grains,cotton,2023-12-01,349.0,crush
oil,soybean_oil,2023-12-01,373602.0,production
oil,sunflower_oil,2023-12-01,99374.0,production
oil,linen_oil,2023-12-01,90.0,production
oil,peanut_oil,2023-12-01,5127.0,production
oil,cotton_oil,2023-12-01,43.0,production
pellets,soybean_pellets,2023-12-01,1362098.0,production
pellets,sunflower_pellets,2023-12-01,91454.0,production
pellets,peanut_pellets,2023-12-01,6713.0,production
pellets,cotton_pellets,2023-12-01,290.0,production
expellers,soybean_expellers,2023-12-01,89463.0,production
expellers,sunflower_expellers,2023-12-01,2797.0,production
expellers,linen_expellers,2023-12-01,210.0,production
expellers,peanut_expellers,2023-12-01,241.0,production
grains,soybean,2022-01-01,2517871.0,crush
grains,sunflower,2022-01-01,165313.0,crush
grains,linen,2022-01-01,20.0,crush
grains,peanut,2022-01-01,30491.0,crush
grains,cotton,2022-01-01,209.0,crush
oil,soybean_oil,2022-01-01,494530.0,production
oil,sunflower_oil,2022-01-01,70796.0,production
oil,linen_oil,2022-01-01,5.0,production
oil,peanut_oil,2022-01-01,11714.0,production
oil,cotton_oil,2022-01-01,26.0,production
pellets,soybean_pellets,2022-01-01,1813513.0,production
pellets,sunflower_pellets,2022-01-01,71552.0,production
pellets,peanut_pellets,2022-01-01,17074.0,production
pellets,cotton_pellets,2022-01-01,174.0,production
expellers,soybean_expellers,2022-01-01,76968.0,production
expellers,sunflower_expellers,2022-01-01,921.0,production
expellers,linen_expellers,2022-01-01,14.0,production
grains,soybean,2022-02-01,2643817.0,crush
grains,sunflower,2022-02-01,236135.0,crush
grains,linen,2022-02-01,100.0,crush
grains,peanut,2022-02-01,17797.0,crush
grains,cotton,2022-02-01,426.0,crush
grains,canola,2022-02-01,45.0,crush
oil,soybean_oil,2022-02-01,519085.0,production
oil,sunflower_oil,2022-02-01,100141.0,production
oil,linen_oil,2022-02-01,25.0,production
oil,peanut_oil,2022-02-01,7173.0,production
oil,cotton_oil,2022-02-01,52.0,production
oil,canola_oil,2022-02-01,10.0,production
pellets,soybean_pellets,2022-02-01,1913910.0,production
pellets,sunflower_pellets,2022-02-01,99670.0,production
pellets,peanut_pellets,2022-02-01,10088.0,production
pellets,cotton_pellets,2022-02-01,354.0,production
expellers,soybean_expellers,2022-02-01,74947.0,production
expellers,sunflower_expellers,2022-02-01,1154.0,production
expellers,linen_expellers,2022-02-01,72.0,production
expellers,canola_expellers,2022-02-01,27.0,production
grains,soybean,2022-03-01,2934752.0,crush
grains,sunflower,2022-03-01,400691.0,crush
grains,linen,2022-03-01,50.0,crush
grains,peanut,2022-03-01,4054.0,crush
grains,cotton,2022-03-01,474.0,crush
grains,canola,2022-03-01,33.0,crush
oil,soybean_oil,2022-03-01,576491.0,production
oil,sunflower_oil,2022-03-01,174777.0,production
oil,linen_oil,2022-03-01,19.0,production
oil,peanut_oil,2022-03-01,1255.0,production
oil,cotton_oil,2022-03-01,58.0,production
oil,canola_oil,2022-03-01,9.0,production
pellets,soybean_pellets,2022-03-01,2088646.0,production
pellets,sunflower_pellets,2022-03-01,149641.0,production
pellets,peanut_pellets,2022-03-01,2445.0,production
pellets,cotton_pellets,2022-03-01,476.0,production
expellers,soybean_expellers,2022-03-01,86327.0,production
expellers,sunflower_expellers,2022-03-01,2563.0,production
expellers,linen_expellers,2022-03-01,31.0,production
expellers,canola_expellers,2022-03-01,20.0,production
grains,soybean,2022-04-01,3927838.0,crush
grains,sunflower,2022-04-01,429264.0,crush
grains,peanut,2022-04-01,6013.0,crush
grains,cotton,2022-04-01,565.0,crush
grains,canola,2022-04-01,26.0,crush
oil,soybean_oil,2022-04-01,781254.0,production
oil,sunflower_oil,2022-04-01,189574.0,production
oil,peanut_oil,2022-04-01,2055.0,production
oil,cotton_oil,2022-04-01,68.0,production
oil,canola_oil,2022-04-01,6.0,production
pellets,soybean_pellets,2022-04-01,2838110.0,production
pellets,sunflower_pellets,2022-04-01,172080.0,production
pellets,peanut_pellets,2022-04-01,3883.0,production
pellets,cotton_pellets,2022-04-01,469.0,production
expellers,soybean_expellers,2022-04-01,82287.0,production
expellers,sunflower_expellers,2022-04-01,3652.0,production
expellers,canola_expellers,2022-04-01,19.0,production
grains,soybean,2022-05-01,4142910.0,crush
grains,sunflower,2022-05-01,361566.0,crush
grains,linen,2022-05-01,70.0,crush
grains,peanut,2022-05-01,38900.0,crush
grains,cotton,2022-05-01,20881.0,crush
grains,canola,2022-05-01,40.0,crush
oil,soybean_oil,2022-05-01,791530.0,production
oil,sunflower_oil,2022-05-01,157761.0,production
oil,linen_oil,2022-05-01,27.0,production
oil,peanut_oil,2022-05-01,16309.0,production
oil,cotton_oil,2022-05-01,3389.0,production
oil,canola_oil,2022-05-01,12.0,production
pellets,soybean_pellets,2022-05-01,3024748.0,production
pellets,sunflower_pellets,2022-05-01,145907.0,production
pellets,peanut_pellets,2022-05-01,21748.0,production
pellets,cotton_pellets,2022-05-01,14983.0,production
expellers,soybean_expellers,2022-05-01,88619.0,production
expellers,sunflower_expellers,2022-05-01,3250.0,production
expellers,linen_expellers,2022-05-01,43.0,production
expellers,canola_expellers,2022-05-01,24.0,production
grains,soybean,2022-06-01,3931703.0,crush
grains,sunflower,2022-06-01,408529.0,crush
grains,linen,2022-06-01,85.0,crush
grains,peanut,2022-06-01,7551.0,crush
grains,cotton,2022-06-01,20460.0,crush
oil,soybean_oil,2022-06-01,751602.0,production
oil,sunflower_oil,2022-06-01,185251.0,production
oil,linen_oil,2022-06-01,32.0,production
oil,peanut_oil,2022-06-01,2431.0,production
oil,cotton_oil,2022-06-01,3364.0,production
pellets,soybean_pellets,2022-06-01,2846609.0,production
pellets,sunflower_pellets,2022-06-01,178378.0,production
pellets,peanut_pellets,2022-06-01,5081.0,production
pellets,cotton_pellets,2022-06-01,14053.0,production
expellers,soybean_expellers,2022-06-01,98857.0,production
expellers,sunflower_expellers,2022-06-01,3679.0,production
expellers,linen_expellers,2022-06-01,53.0,production
grains,soybean,2022-07-01,3479766.0,crush
grains,sunflower,2022-07-01,377426.0,crush
grains,peanut,2022-07-01,20796.0,crush
grains,cotton,2022-07-01,27953.0,crush
oil,soybean_oil,2022-07-01,663878.0,production
oil,sunflower_oil,2022-07-01,167809.0,production
oil,peanut_oil,2022-07-01,8005.0,production
oil,cotton_oil,2022-07-01,4598.0,production
pellets,soybean_pellets,2022-07-01,2507935.0,production
pellets,sunflower_pellets,2022-07-01,163694.0,production
pellets,peanut_pellets,2022-07-01,11783.0,production
pellets,cotton_pellets,2022-07-01,19635.0,production
expellers,soybean_expellers,2022-07-01,94952.0,production
expellers,sunflower_expellers,2022-07-01,4017.0,production
grains,soybean,2022-08-01,3146980.0,crush
grains,sunflower,2022-08-01,312395.0,crush
grains,linen,2022-08-01,63.0,crush
grains,peanut,2022-08-01,21735.0,crush
grains,cotton,2022-08-01,22708.0,crush
grains,canola,2022-08-01,36.0,crush
oil,soybean_oil,2022-08-01,602365.0,production
oil,sunflower_oil,2022-08-01,138484.0,production
oil,linen_oil,2022-08-01,24.0,production
oil,peanut_oil,2022-08-01,7994.0,production
oil,cotton_oil,2022-08-01,3813.0,production
oil,canola_oil,2022-08-01,6.0,production
pellets,soybean_pellets,2022-08-01,2251800.0,production
pellets,sunflower_pellets,2022-08-01,135776.0,production
pellets,peanut_pellets,2022-08-01,12243.0,production
pellets,cotton_pellets,2022-08-01,16345.0,production
expellers,soybean_expellers,2022-08-01,108571.0,production
expellers,sunflower_expellers,2022-08-01,4815.0,production
expellers,linen_expellers,2022-08-01,39.0,production
expellers,canola_expellers,2022-08-01,22.0,production
grains,soybean,2022-09-01,2873464.0,crush
grains,sunflower,2022-09-01,202234.0,crush
grains,peanut,2022-09-01,20243.0,crush
grains,cotton,2022-09-01,23919.0,crush
grains,canola,2022-09-01,28.0,crush
oil,soybean_oil,2022-09-01,551443.0,production
oil,sunflower_oil,2022-09-01,91192.0,production
oil,peanut_oil,2022-09-01,7583.0,production
oil,cotton_oil,2022-09-01,3816.0,production
oil,canola_oil,2022-09-01,7.0,production
pellets,soybean_pellets,2022-09-01,2048590.0,production
pellets,sunflower_pellets,2022-09-01,86429.0,production
pellets,peanut_pellets,2022-09-01,11595.0,production
pellets,cotton_pellets,2022-09-01,16934.0,production
expellers,soybean_expellers,2022-09-01,99502.0,production
expellers,sunflower_expellers,2022-09-01,5011.0,production
expellers,canola_expellers,2022-09-01,16.0,production
grains,soybean,2022-10-01,2916139.0,crush
grains,sunflower,2022-10-01,150518.0,crush
grains,linen,2022-10-01,78.0,crush
grains,peanut,2022-10-01,23147.0,crush
grains,cotton,2022-10-01,11327.0,crush
grains,canola,2022-10-01,37.0,crush
oil,soybean_oil,2022-10-01,564739.0,production
oil,sunflower_oil,2022-10-01,67899.0,production
oil,linen_oil,2022-10-01,29.0,production
oil,peanut_oil,2022-10-01,7499.0,production
oil,cotton_oil,2022-10-01,1784.0,production
oil,canola_oil,2022-10-01,7.0,production
pellets,soybean_pellets,2022-10-01,2097498.0,production
pellets,sunflower_pellets,2022-10-01,61791.0,production
pellets,peanut_pellets,2022-10-01,13115.0,production
pellets,cotton_pellets,2022-10-01,8526.0,production
expellers,soybean_expellers,2022-10-01,89031.0,production
expellers,sunflower_expellers,2022-10-01,4029.0,production
expellers,linen_expellers,2022-10-01,48.0,production
expellers,canola_expellers,2022-10-01,20.0,production
grains,soybean,2022-11-01,3323050.0,crush
grains,sunflower,2022-11-01,150460.0,crush
grains,peanut,2022-11-01,5903.0,crush
grains,cotton,2022-11-01,2897.0,crush
grains,canola,2022-11-01,35.0,crush
oil,soybean_oil,2022-11-01,644807.0,production
oil,sunflower_oil,2022-11-01,66891.0,production
oil,peanut_oil,2022-11-01,2011.0,production
oil,cotton_oil,2022-11-01,380.0,production
oil,canola_oil,2022-11-01,10.0,production
pellets,soybean_pellets,2022-11-01,2393207.0,production
pellets,sunflower_pellets,2022-11-01,62816.0,production
pellets,peanut_pellets,2022-11-01,3971.0,production
pellets,cotton_pellets,2022-11-01,2046.0,production
expellers,soybean_expellers,2022-11-01,93691.0,production
expellers,sunflower_expellers,2022-11-01,3345.0,production
expellers,canola_expellers,2022-11-01,24.0,production
grains,soybean,2022-12-01,2622045.0,crush
grains,sunflower,2022-12-01,189318.0,crush
grains,peanut,2022-12-01,22155.0,crush
grains,cotton,2022-12-01,623.0,crush
grains,safflower,2022-12-01,615.0,crush
grains,canola,2022-12-01,3185.0,crush
oil,soybean_oil,2022-12-01,505966.0,production
oil,sunflower_oil,2022-12-01,87052.0,production
oil,peanut_oil,2022-12-01,8254.0,production
oil,cotton_oil,2022-12-01,77.0,production
oil,safflower_oil,2022-12-01,190.0,production
oil,canola_oil,2022-12-01,1091.0,production
pellets,soybean_pellets,2022-12-01,1872995.0,production
pellets,sunflower_pellets,2022-12-01,82981.0,production
pellets,peanut_pellets,2022-12-01,12481.0,production
pellets,cotton_pellets,2022-12-01,501.0,production
pellets,safflower_pellets,2022-12-01,361.0,production
pellets,canola_pellets,2022-12-01,2076.0,production
expellers,soybean_expellers,2022-12-01,85398.0,production
expellers,sunflower_expellers,2022-12-01,2910.0,production
expellers,canola_expellers,2022-12-01,15.0,production
grains,soybean,2021-01-01,3228878.0,crush
grains,sunflower,2021-01-01,164823.0,crush
grains,linen,2021-01-01,30.0,crush
grains,peanut,2021-01-01,15036.0,crush
grains,cotton,2021-01-01,207.0,crush
oil,soybean_oil,2021-01-01,642793.0,production
oil,sunflower_oil,2021-01-01,71586.0,production
oil,linen_oil,2021-01-01,11.0,production
oil,peanut_oil,2021-01-01,5746.0,production
oil,cotton_oil,2021-01-01,27.0,production
pellets,soybean_pellets,2021-01-01,2381185.0,production
pellets,sunflower_pellets,2021-01-01,69387.0,production
pellets,peanut_pellets,2021-01-01,8259.0,production
pellets,cotton_pellets,2021-01-01,234.0,production
expellers,soybean_expellers,2021-01-01,81628.0,production
expellers,sunflower_expellers,2021-01-01,922.0,production
expellers,linen_expellers,2021-01-01,18.0,production
grains,soybean,2021-02-01,2855756.0,crush
grains,sunflower,2021-02-01,203027.0,crush
grains,linen,2021-02-01,149.0,crush
grains,peanut,2021-02-01,13325.0,crush
grains,cotton,2021-02-01,203.0,crush
oil,soybean_oil,2021-02-01,571696.0,production
oil,sunflower_oil,2021-02-01,88174.0,production
oil,linen_oil,2021-02-01,54.0,production
oil,peanut_oil,2021-02-01,5093.0,production
oil,cotton_oil,2021-02-01,26.0,production
pellets,soybean_pellets,2021-02-01,2075666.0,production
pellets,sunflower_pellets,2021-02-01,83778.0,production
pellets,peanut_pellets,2021-02-01,7392.0,production
pellets,cotton_pellets,2021-02-01,207.0,production
expellers,soybean_expellers,2021-02-01,70575.0,production
expellers,sunflower_expellers,2021-02-01,1056.0,production
expellers,linen_expellers,2021-02-01,91.0,production
grains,soybean,2021-03-01,3395949.0,crush
grains,sunflower,2021-03-01,388901.0,crush
grains,linen,2021-03-01,263.0,crush
grains,peanut,2021-03-01,16657.0,crush
grains,cotton,2021-03-01,177.0,crush
grains,canola,2021-03-01,28.0,crush
oil,soybean_oil,2021-03-01,681774.0,production
oil,sunflower_oil,2021-03-01,165456.0,production
oil,linen_oil,2021-03-01,84.0,production
oil,peanut_oil,2021-03-01,5179.0,production
oil,cotton_oil,2021-03-01,22.0,production
oil,canola_oil,2021-03-01,10.0,production
pellets,soybean_pellets,2021-03-01,2473608.0,production
pellets,sunflower_pellets,2021-03-01,153046.0,production
